"intercept","env_range","lat_range","sim","fit_model","job"
-2.5,10,30,6,"mgcv",147
-4.5,30,30,6,"mgcv",148
-3.5,30,30,6,"mgcv",149
-2.5,30,30,6,"mgcv",150
-4.5,50,30,6,"mgcv",151
-3.5,50,30,6,"mgcv",152
-2.5,50,30,6,"mgcv",153
-4.5,10,50,6,"mgcv",154
-3.5,10,50,6,"mgcv",155
-2.5,10,50,6,"mgcv",156
-4.5,30,50,6,"mgcv",157
-3.5,30,50,6,"mgcv",158
-2.5,30,50,6,"mgcv",159
-4.5,50,50,6,"mgcv",160
-3.5,50,50,6,"mgcv",161
-2.5,50,50,6,"mgcv",162
-4.5,10,10,7,"mgcv",163
-3.5,10,10,7,"mgcv",164
-2.5,10,10,7,"mgcv",165
-4.5,30,10,7,"mgcv",166
-3.5,30,10,7,"mgcv",167
-2.5,30,10,7,"mgcv",168
-4.5,50,10,7,"mgcv",169
-3.5,50,10,7,"mgcv",170
-2.5,50,10,7,"mgcv",171
-4.5,10,30,7,"mgcv",172
-3.5,10,30,7,"mgcv",173
-2.5,10,30,7,"mgcv",174
-4.5,30,30,7,"mgcv",175
-3.5,30,30,7,"mgcv",176
-2.5,30,30,7,"mgcv",177
-4.5,50,30,7,"mgcv",178
-3.5,50,30,7,"mgcv",179
-2.5,50,30,7,"mgcv",180
-4.5,10,50,7,"mgcv",181
-3.5,10,50,7,"mgcv",182
-2.5,10,50,7,"mgcv",183
-4.5,30,50,7,"mgcv",184
-3.5,30,50,7,"mgcv",185
-2.5,30,50,7,"mgcv",186
-4.5,50,50,7,"mgcv",187
-3.5,50,50,7,"mgcv",188
-2.5,50,50,7,"mgcv",189
-4.5,10,10,8,"mgcv",190
-3.5,10,10,8,"mgcv",191
-2.5,10,10,8,"mgcv",192
-4.5,30,10,8,"mgcv",193
-3.5,30,10,8,"mgcv",194
-2.5,30,10,8,"mgcv",195
-4.5,50,10,8,"mgcv",196
-3.5,50,10,8,"mgcv",197
-2.5,50,10,8,"mgcv",198
-4.5,10,30,8,"mgcv",199
-3.5,10,30,8,"mgcv",200
-2.5,10,30,8,"mgcv",201
-4.5,30,30,8,"mgcv",202
-3.5,30,30,8,"mgcv",203
-2.5,30,30,8,"mgcv",204
-4.5,50,30,8,"mgcv",205
-3.5,50,30,8,"mgcv",206
-2.5,50,30,8,"mgcv",207
-4.5,10,50,8,"mgcv",208
-3.5,10,50,8,"mgcv",209
-2.5,10,50,8,"mgcv",210
-4.5,30,50,8,"mgcv",211
-3.5,30,50,8,"mgcv",212
-2.5,30,50,8,"mgcv",213
-4.5,50,50,8,"mgcv",214
-3.5,50,50,8,"mgcv",215
-2.5,50,50,8,"mgcv",216
-4.5,10,10,9,"mgcv",217
-3.5,10,10,9,"mgcv",218
-2.5,10,10,9,"mgcv",219
-4.5,30,10,9,"mgcv",220
-3.5,30,10,9,"mgcv",221
-2.5,30,10,9,"mgcv",222
-4.5,50,10,9,"mgcv",223
-3.5,50,10,9,"mgcv",224
-2.5,50,10,9,"mgcv",225
-4.5,10,30,9,"mgcv",226
-3.5,10,30,9,"mgcv",227
-2.5,10,30,9,"mgcv",228
-4.5,30,30,9,"mgcv",229
-3.5,30,30,9,"mgcv",230
-2.5,30,30,9,"mgcv",231
-4.5,50,30,9,"mgcv",232
-3.5,50,30,9,"mgcv",233
-2.5,50,30,9,"mgcv",234
-4.5,10,50,9,"mgcv",235
-3.5,10,50,9,"mgcv",236
-2.5,10,50,9,"mgcv",237
-4.5,30,50,9,"mgcv",238
-3.5,30,50,9,"mgcv",239
-2.5,30,50,9,"mgcv",240
-4.5,50,50,9,"mgcv",241
-3.5,50,50,9,"mgcv",242
-2.5,50,50,9,"mgcv",243
-4.5,10,10,10,"mgcv",244
-3.5,10,10,10,"mgcv",245
-2.5,10,10,10,"mgcv",246
-4.5,30,10,10,"mgcv",247
-3.5,30,10,10,"mgcv",248
-2.5,30,10,10,"mgcv",249
-4.5,50,10,10,"mgcv",250
-3.5,50,10,10,"mgcv",251
-2.5,50,10,10,"mgcv",252
-4.5,10,30,10,"mgcv",253
-3.5,10,30,10,"mgcv",254
-2.5,10,30,10,"mgcv",255
-4.5,30,30,10,"mgcv",256
-3.5,30,30,10,"mgcv",257
-2.5,30,30,10,"mgcv",258
-4.5,50,30,10,"mgcv",259
-3.5,50,30,10,"mgcv",260
-2.5,50,30,10,"mgcv",261
-4.5,10,50,10,"mgcv",262
-3.5,10,50,10,"mgcv",263
-2.5,10,50,10,"mgcv",264
-4.5,30,50,10,"mgcv",265
-3.5,30,50,10,"mgcv",266
-2.5,30,50,10,"mgcv",267
-4.5,50,50,10,"mgcv",268
-3.5,50,50,10,"mgcv",269
-2.5,50,50,10,"mgcv",270
-4.5,10,10,11,"mgcv",271
-3.5,10,10,11,"mgcv",272
-2.5,10,10,11,"mgcv",273
-4.5,30,10,11,"mgcv",274
-3.5,30,10,11,"mgcv",275
-2.5,30,10,11,"mgcv",276
-4.5,50,10,11,"mgcv",277
-3.5,50,10,11,"mgcv",278
-2.5,50,10,11,"mgcv",279
-4.5,10,30,11,"mgcv",280
-3.5,10,30,11,"mgcv",281
-2.5,10,30,11,"mgcv",282
-4.5,30,30,11,"mgcv",283
-3.5,30,30,11,"mgcv",284
-2.5,30,30,11,"mgcv",285
