"intercept","env_range","lat_range","sim","fit_model","job"
-2.5,30,50,70,"mgcv",1887
-4.5,50,50,70,"mgcv",1888
-3.5,50,50,70,"mgcv",1889
-2.5,50,50,70,"mgcv",1890
-4.5,10,10,71,"mgcv",1891
-3.5,10,10,71,"mgcv",1892
-2.5,10,10,71,"mgcv",1893
-4.5,30,10,71,"mgcv",1894
-3.5,30,10,71,"mgcv",1895
-2.5,30,10,71,"mgcv",1896
-4.5,50,10,71,"mgcv",1897
-3.5,50,10,71,"mgcv",1898
-2.5,50,10,71,"mgcv",1899
-4.5,10,30,71,"mgcv",1900
-3.5,10,30,71,"mgcv",1901
-2.5,10,30,71,"mgcv",1902
-4.5,30,30,71,"mgcv",1903
-3.5,30,30,71,"mgcv",1904
-2.5,30,30,71,"mgcv",1905
-4.5,50,30,71,"mgcv",1906
-3.5,50,30,71,"mgcv",1907
-2.5,50,30,71,"mgcv",1908
-4.5,10,50,71,"mgcv",1909
-3.5,10,50,71,"mgcv",1910
-2.5,10,50,71,"mgcv",1911
-4.5,30,50,71,"mgcv",1912
-3.5,30,50,71,"mgcv",1913
-2.5,30,50,71,"mgcv",1914
-4.5,50,50,71,"mgcv",1915
-3.5,50,50,71,"mgcv",1916
-2.5,50,50,71,"mgcv",1917
-4.5,10,10,72,"mgcv",1918
-3.5,10,10,72,"mgcv",1919
-2.5,10,10,72,"mgcv",1920
-4.5,30,10,72,"mgcv",1921
-3.5,30,10,72,"mgcv",1922
-2.5,30,10,72,"mgcv",1923
-4.5,50,10,72,"mgcv",1924
-3.5,50,10,72,"mgcv",1925
-2.5,50,10,72,"mgcv",1926
-4.5,10,30,72,"mgcv",1927
-3.5,10,30,72,"mgcv",1928
-2.5,10,30,72,"mgcv",1929
-4.5,30,30,72,"mgcv",1930
-3.5,30,30,72,"mgcv",1931
-2.5,30,30,72,"mgcv",1932
-4.5,50,30,72,"mgcv",1933
-3.5,50,30,72,"mgcv",1934
-2.5,50,30,72,"mgcv",1935
-4.5,10,50,72,"mgcv",1936
-3.5,10,50,72,"mgcv",1937
-2.5,10,50,72,"mgcv",1938
-4.5,30,50,72,"mgcv",1939
-3.5,30,50,72,"mgcv",1940
-2.5,30,50,72,"mgcv",1941
-4.5,50,50,72,"mgcv",1942
-3.5,50,50,72,"mgcv",1943
-2.5,50,50,72,"mgcv",1944
-4.5,10,10,73,"mgcv",1945
-3.5,10,10,73,"mgcv",1946
-2.5,10,10,73,"mgcv",1947
-4.5,30,10,73,"mgcv",1948
-3.5,30,10,73,"mgcv",1949
-2.5,30,10,73,"mgcv",1950
-4.5,50,10,73,"mgcv",1951
-3.5,50,10,73,"mgcv",1952
-2.5,50,10,73,"mgcv",1953
-4.5,10,30,73,"mgcv",1954
-3.5,10,30,73,"mgcv",1955
-2.5,10,30,73,"mgcv",1956
-4.5,30,30,73,"mgcv",1957
-3.5,30,30,73,"mgcv",1958
-2.5,30,30,73,"mgcv",1959
-4.5,50,30,73,"mgcv",1960
-3.5,50,30,73,"mgcv",1961
-2.5,50,30,73,"mgcv",1962
-4.5,10,50,73,"mgcv",1963
-3.5,10,50,73,"mgcv",1964
-2.5,10,50,73,"mgcv",1965
-4.5,30,50,73,"mgcv",1966
-3.5,30,50,73,"mgcv",1967
-2.5,30,50,73,"mgcv",1968
-4.5,50,50,73,"mgcv",1969
-3.5,50,50,73,"mgcv",1970
-2.5,50,50,73,"mgcv",1971
-4.5,10,10,74,"mgcv",1972
-3.5,10,10,74,"mgcv",1973
-2.5,10,10,74,"mgcv",1974
-4.5,30,10,74,"mgcv",1975
-3.5,30,10,74,"mgcv",1976
-2.5,30,10,74,"mgcv",1977
-4.5,50,10,74,"mgcv",1978
-3.5,50,10,74,"mgcv",1979
-2.5,50,10,74,"mgcv",1980
-4.5,10,30,74,"mgcv",1981
-3.5,10,30,74,"mgcv",1982
-2.5,10,30,74,"mgcv",1983
-4.5,30,30,74,"mgcv",1984
-3.5,30,30,74,"mgcv",1985
-2.5,30,30,74,"mgcv",1986
-4.5,50,30,74,"mgcv",1987
-3.5,50,30,74,"mgcv",1988
-2.5,50,30,74,"mgcv",1989
-4.5,10,50,74,"mgcv",1990
-3.5,10,50,74,"mgcv",1991
-2.5,10,50,74,"mgcv",1992
-4.5,30,50,74,"mgcv",1993
-3.5,30,50,74,"mgcv",1994
-2.5,30,50,74,"mgcv",1995
-4.5,50,50,74,"mgcv",1996
-3.5,50,50,74,"mgcv",1997
-2.5,50,50,74,"mgcv",1998
-4.5,10,10,75,"mgcv",1999
-3.5,10,10,75,"mgcv",2000
-2.5,10,10,75,"mgcv",2001
-4.5,30,10,75,"mgcv",2002
-3.5,30,10,75,"mgcv",2003
-2.5,30,10,75,"mgcv",2004
-4.5,50,10,75,"mgcv",2005
-3.5,50,10,75,"mgcv",2006
-2.5,50,10,75,"mgcv",2007
-4.5,10,30,75,"mgcv",2008
-3.5,10,30,75,"mgcv",2009
-2.5,10,30,75,"mgcv",2010
-4.5,30,30,75,"mgcv",2011
-3.5,30,30,75,"mgcv",2012
-2.5,30,30,75,"mgcv",2013
-4.5,50,30,75,"mgcv",2014
-3.5,50,30,75,"mgcv",2015
-2.5,50,30,75,"mgcv",2016
-4.5,10,50,75,"mgcv",2017
-3.5,10,50,75,"mgcv",2018
-2.5,10,50,75,"mgcv",2019
-4.5,30,50,75,"mgcv",2020
-3.5,30,50,75,"mgcv",2021
-2.5,30,50,75,"mgcv",2022
-4.5,50,50,75,"mgcv",2023
-3.5,50,50,75,"mgcv",2024
-2.5,50,50,75,"mgcv",2025
-4.5,10,10,76,"mgcv",2026
-3.5,10,10,76,"mgcv",2027
-2.5,10,10,76,"mgcv",2028
-4.5,30,10,76,"mgcv",2029
-3.5,30,10,76,"mgcv",2030
-2.5,30,10,76,"mgcv",2031
-4.5,50,10,76,"mgcv",2032
-3.5,50,10,76,"mgcv",2033
-2.5,50,10,76,"mgcv",2034
-4.5,10,30,76,"mgcv",2035
-3.5,10,30,76,"mgcv",2036
-2.5,10,30,76,"mgcv",2037
-4.5,30,30,76,"mgcv",2038
-3.5,30,30,76,"mgcv",2039
-2.5,30,30,76,"mgcv",2040
-4.5,50,30,76,"mgcv",2041
-3.5,50,30,76,"mgcv",2042
-2.5,50,30,76,"mgcv",2043
-4.5,10,50,76,"mgcv",2044
-3.5,10,50,76,"mgcv",2045
-2.5,10,50,76,"mgcv",2046
-4.5,30,50,76,"mgcv",2047
-3.5,30,50,76,"mgcv",2048
-2.5,30,50,76,"mgcv",2049
-4.5,50,50,76,"mgcv",2050
-3.5,50,50,76,"mgcv",2051
-2.5,50,50,76,"mgcv",2052
-4.5,10,10,77,"mgcv",2053
-3.5,10,10,77,"mgcv",2054
-2.5,10,10,77,"mgcv",2055
-4.5,30,10,77,"mgcv",2056
-3.5,30,10,77,"mgcv",2057
-2.5,30,10,77,"mgcv",2058
-4.5,50,10,77,"mgcv",2059
-3.5,50,10,77,"mgcv",2060
-2.5,50,10,77,"mgcv",2061
-4.5,10,30,77,"mgcv",2062
-3.5,10,30,77,"mgcv",2063
-2.5,10,30,77,"mgcv",2064
-4.5,30,30,77,"mgcv",2065
-3.5,30,30,77,"mgcv",2066
-2.5,30,30,77,"mgcv",2067
-4.5,50,30,77,"mgcv",2068
-3.5,50,30,77,"mgcv",2069
-2.5,50,30,77,"mgcv",2070
-4.5,10,50,77,"mgcv",2071
-3.5,10,50,77,"mgcv",2072
-2.5,10,50,77,"mgcv",2073
-4.5,30,50,77,"mgcv",2074
-3.5,30,50,77,"mgcv",2075
-2.5,30,50,77,"mgcv",2076
-4.5,50,50,77,"mgcv",2077
-3.5,50,50,77,"mgcv",2078
-2.5,50,50,77,"mgcv",2079
-4.5,10,10,78,"mgcv",2080
-3.5,10,10,78,"mgcv",2081
-2.5,10,10,78,"mgcv",2082
-4.5,30,10,78,"mgcv",2083
-3.5,30,10,78,"mgcv",2084
-2.5,30,10,78,"mgcv",2085
-4.5,50,10,78,"mgcv",2086
-3.5,50,10,78,"mgcv",2087
-2.5,50,10,78,"mgcv",2088
-4.5,10,30,78,"mgcv",2089
-3.5,10,30,78,"mgcv",2090
-2.5,10,30,78,"mgcv",2091
-4.5,30,30,78,"mgcv",2092
-3.5,30,30,78,"mgcv",2093
-2.5,30,30,78,"mgcv",2094
-4.5,50,30,78,"mgcv",2095
-3.5,50,30,78,"mgcv",2096
-2.5,50,30,78,"mgcv",2097
-4.5,10,50,78,"mgcv",2098
-3.5,10,50,78,"mgcv",2099
-2.5,10,50,78,"mgcv",2100
-4.5,30,50,78,"mgcv",2101
-3.5,30,50,78,"mgcv",2102
-2.5,30,50,78,"mgcv",2103
-4.5,50,50,78,"mgcv",2104
-3.5,50,50,78,"mgcv",2105
-2.5,50,50,78,"mgcv",2106
-4.5,10,10,79,"mgcv",2107
-3.5,10,10,79,"mgcv",2108
-2.5,10,10,79,"mgcv",2109
-4.5,30,10,79,"mgcv",2110
-3.5,30,10,79,"mgcv",2111
-2.5,30,10,79,"mgcv",2112
-4.5,50,10,79,"mgcv",2113
-3.5,50,10,79,"mgcv",2114
-2.5,50,10,79,"mgcv",2115
-4.5,10,30,79,"mgcv",2116
-3.5,10,30,79,"mgcv",2117
-2.5,10,30,79,"mgcv",2118
-4.5,30,30,79,"mgcv",2119
-3.5,30,30,79,"mgcv",2120
-2.5,30,30,79,"mgcv",2121
-4.5,50,30,79,"mgcv",2122
-3.5,50,30,79,"mgcv",2123
-2.5,50,30,79,"mgcv",2124
-4.5,10,50,79,"mgcv",2125
-3.5,10,50,79,"mgcv",2126
-2.5,10,50,79,"mgcv",2127
-4.5,30,50,79,"mgcv",2128
-3.5,30,50,79,"mgcv",2129
-2.5,30,50,79,"mgcv",2130
-4.5,50,50,79,"mgcv",2131
-3.5,50,50,79,"mgcv",2132
-2.5,50,50,79,"mgcv",2133
-4.5,10,10,80,"mgcv",2134
-3.5,10,10,80,"mgcv",2135
-2.5,10,10,80,"mgcv",2136
-4.5,30,10,80,"mgcv",2137
-3.5,30,10,80,"mgcv",2138
-2.5,30,10,80,"mgcv",2139
-4.5,50,10,80,"mgcv",2140
-3.5,50,10,80,"mgcv",2141
-2.5,50,10,80,"mgcv",2142
-4.5,10,30,80,"mgcv",2143
-3.5,10,30,80,"mgcv",2144
-2.5,10,30,80,"mgcv",2145
-4.5,30,30,80,"mgcv",2146
-3.5,30,30,80,"mgcv",2147
-2.5,30,30,80,"mgcv",2148
-4.5,50,30,80,"mgcv",2149
-3.5,50,30,80,"mgcv",2150
-2.5,50,30,80,"mgcv",2151
-4.5,10,50,80,"mgcv",2152
-3.5,10,50,80,"mgcv",2153
-2.5,10,50,80,"mgcv",2154
-4.5,30,50,80,"mgcv",2155
-3.5,30,50,80,"mgcv",2156
-2.5,30,50,80,"mgcv",2157
-4.5,50,50,80,"mgcv",2158
-3.5,50,50,80,"mgcv",2159
-2.5,50,50,80,"mgcv",2160
-4.5,10,10,81,"mgcv",2161
-3.5,10,10,81,"mgcv",2162
-2.5,10,10,81,"mgcv",2163
-4.5,30,10,81,"mgcv",2164
-3.5,30,10,81,"mgcv",2165
-2.5,30,10,81,"mgcv",2166
-4.5,50,10,81,"mgcv",2167
-3.5,50,10,81,"mgcv",2168
-2.5,50,10,81,"mgcv",2169
-4.5,10,30,81,"mgcv",2170
-3.5,10,30,81,"mgcv",2171
-2.5,10,30,81,"mgcv",2172
-4.5,30,30,81,"mgcv",2173
-3.5,30,30,81,"mgcv",2174
-2.5,30,30,81,"mgcv",2175
-4.5,50,30,81,"mgcv",2176
-3.5,50,30,81,"mgcv",2177
-2.5,50,30,81,"mgcv",2178
-4.5,10,50,81,"mgcv",2179
-3.5,10,50,81,"mgcv",2180
-2.5,10,50,81,"mgcv",2181
-4.5,30,50,81,"mgcv",2182
-3.5,30,50,81,"mgcv",2183
-2.5,30,50,81,"mgcv",2184
-4.5,50,50,81,"mgcv",2185
-3.5,50,50,81,"mgcv",2186
-2.5,50,50,81,"mgcv",2187
-4.5,10,10,82,"mgcv",2188
-3.5,10,10,82,"mgcv",2189
-2.5,10,10,82,"mgcv",2190
-4.5,30,10,82,"mgcv",2191
-3.5,30,10,82,"mgcv",2192
-2.5,30,10,82,"mgcv",2193
-4.5,50,10,82,"mgcv",2194
-3.5,50,10,82,"mgcv",2195
-2.5,50,10,82,"mgcv",2196
-4.5,10,30,82,"mgcv",2197
-3.5,10,30,82,"mgcv",2198
-2.5,10,30,82,"mgcv",2199
-4.5,30,30,82,"mgcv",2200
-3.5,30,30,82,"mgcv",2201
-2.5,30,30,82,"mgcv",2202
-4.5,50,30,82,"mgcv",2203
-3.5,50,30,82,"mgcv",2204
-2.5,50,30,82,"mgcv",2205
-4.5,10,50,82,"mgcv",2206
-3.5,10,50,82,"mgcv",2207
-2.5,10,50,82,"mgcv",2208
-4.5,30,50,82,"mgcv",2209
-3.5,30,50,82,"mgcv",2210
-2.5,30,50,82,"mgcv",2211
-4.5,50,50,82,"mgcv",2212
-3.5,50,50,82,"mgcv",2213
-2.5,50,50,82,"mgcv",2214
-4.5,10,10,83,"mgcv",2215
-3.5,10,10,83,"mgcv",2216
-2.5,10,10,83,"mgcv",2217
-4.5,30,10,83,"mgcv",2218
-3.5,30,10,83,"mgcv",2219
-2.5,30,10,83,"mgcv",2220
-4.5,50,10,83,"mgcv",2221
-3.5,50,10,83,"mgcv",2222
-2.5,50,10,83,"mgcv",2223
-4.5,10,30,83,"mgcv",2224
-3.5,10,30,83,"mgcv",2225
-2.5,10,30,83,"mgcv",2226
-4.5,30,30,83,"mgcv",2227
-3.5,30,30,83,"mgcv",2228
-2.5,30,30,83,"mgcv",2229
-4.5,50,30,83,"mgcv",2230
-3.5,50,30,83,"mgcv",2231
-2.5,50,30,83,"mgcv",2232
-4.5,10,50,83,"mgcv",2233
-3.5,10,50,83,"mgcv",2234
-2.5,10,50,83,"mgcv",2235
-4.5,30,50,83,"mgcv",2236
-3.5,30,50,83,"mgcv",2237
-2.5,30,50,83,"mgcv",2238
-4.5,50,50,83,"mgcv",2239
-3.5,50,50,83,"mgcv",2240
-2.5,50,50,83,"mgcv",2241
-4.5,10,10,84,"mgcv",2242
-3.5,10,10,84,"mgcv",2243
-2.5,10,10,84,"mgcv",2244
-4.5,30,10,84,"mgcv",2245
-3.5,30,10,84,"mgcv",2246
-2.5,30,10,84,"mgcv",2247
-4.5,50,10,84,"mgcv",2248
-3.5,50,10,84,"mgcv",2249
-2.5,50,10,84,"mgcv",2250
-4.5,10,30,84,"mgcv",2251
-3.5,10,30,84,"mgcv",2252
-2.5,10,30,84,"mgcv",2253
-4.5,30,30,84,"mgcv",2254
-3.5,30,30,84,"mgcv",2255
-2.5,30,30,84,"mgcv",2256
-4.5,50,30,84,"mgcv",2257
-3.5,50,30,84,"mgcv",2258
-2.5,50,30,84,"mgcv",2259
-4.5,10,50,84,"mgcv",2260
-3.5,10,50,84,"mgcv",2261
-2.5,10,50,84,"mgcv",2262
-4.5,30,50,84,"mgcv",2263
-3.5,30,50,84,"mgcv",2264
-2.5,30,50,84,"mgcv",2265
-4.5,50,50,84,"mgcv",2266
-3.5,50,50,84,"mgcv",2267
-2.5,50,50,84,"mgcv",2268
-4.5,10,10,85,"mgcv",2269
-3.5,10,10,85,"mgcv",2270
-2.5,10,10,85,"mgcv",2271
-4.5,30,10,85,"mgcv",2272
-3.5,30,10,85,"mgcv",2273
-2.5,30,10,85,"mgcv",2274
-4.5,50,10,85,"mgcv",2275
-3.5,50,10,85,"mgcv",2276
-2.5,50,10,85,"mgcv",2277
-4.5,10,30,85,"mgcv",2278
-3.5,10,30,85,"mgcv",2279
-2.5,10,30,85,"mgcv",2280
-4.5,30,30,85,"mgcv",2281
-3.5,30,30,85,"mgcv",2282
-2.5,30,30,85,"mgcv",2283
-4.5,50,30,85,"mgcv",2284
-3.5,50,30,85,"mgcv",2285
-2.5,50,30,85,"mgcv",2286
-4.5,10,50,85,"mgcv",2287
-3.5,10,50,85,"mgcv",2288
-2.5,10,50,85,"mgcv",2289
-4.5,30,50,85,"mgcv",2290
-3.5,30,50,85,"mgcv",2291
-2.5,30,50,85,"mgcv",2292
-4.5,50,50,85,"mgcv",2293
-3.5,50,50,85,"mgcv",2294
-2.5,50,50,85,"mgcv",2295
-4.5,10,10,86,"mgcv",2296
-3.5,10,10,86,"mgcv",2297
-2.5,10,10,86,"mgcv",2298
-4.5,30,10,86,"mgcv",2299
-3.5,30,10,86,"mgcv",2300
-2.5,30,10,86,"mgcv",2301
-4.5,50,10,86,"mgcv",2302
-3.5,50,10,86,"mgcv",2303
-2.5,50,10,86,"mgcv",2304
-4.5,10,30,86,"mgcv",2305
-3.5,10,30,86,"mgcv",2306
-2.5,10,30,86,"mgcv",2307
-4.5,30,30,86,"mgcv",2308
-3.5,30,30,86,"mgcv",2309
-2.5,30,30,86,"mgcv",2310
-4.5,50,30,86,"mgcv",2311
-3.5,50,30,86,"mgcv",2312
-2.5,50,30,86,"mgcv",2313
-4.5,10,50,86,"mgcv",2314
-3.5,10,50,86,"mgcv",2315
-2.5,10,50,86,"mgcv",2316
-4.5,30,50,86,"mgcv",2317
-3.5,30,50,86,"mgcv",2318
-2.5,30,50,86,"mgcv",2319
-4.5,50,50,86,"mgcv",2320
-3.5,50,50,86,"mgcv",2321
-2.5,50,50,86,"mgcv",2322
-4.5,10,10,87,"mgcv",2323
-3.5,10,10,87,"mgcv",2324
-2.5,10,10,87,"mgcv",2325
-4.5,30,10,87,"mgcv",2326
-3.5,30,10,87,"mgcv",2327
-2.5,30,10,87,"mgcv",2328
-4.5,50,10,87,"mgcv",2329
-3.5,50,10,87,"mgcv",2330
-2.5,50,10,87,"mgcv",2331
-4.5,10,30,87,"mgcv",2332
-3.5,10,30,87,"mgcv",2333
-2.5,10,30,87,"mgcv",2334
-4.5,30,30,87,"mgcv",2335
-3.5,30,30,87,"mgcv",2336
-2.5,30,30,87,"mgcv",2337
-4.5,50,30,87,"mgcv",2338
-3.5,50,30,87,"mgcv",2339
-2.5,50,30,87,"mgcv",2340
-4.5,10,50,87,"mgcv",2341
-3.5,10,50,87,"mgcv",2342
-2.5,10,50,87,"mgcv",2343
-4.5,30,50,87,"mgcv",2344
-3.5,30,50,87,"mgcv",2345
-2.5,30,50,87,"mgcv",2346
-4.5,50,50,87,"mgcv",2347
-3.5,50,50,87,"mgcv",2348
-2.5,50,50,87,"mgcv",2349
-4.5,10,10,88,"mgcv",2350
-3.5,10,10,88,"mgcv",2351
-2.5,10,10,88,"mgcv",2352
-4.5,30,10,88,"mgcv",2353
-3.5,30,10,88,"mgcv",2354
-2.5,30,10,88,"mgcv",2355
-4.5,50,10,88,"mgcv",2356
-3.5,50,10,88,"mgcv",2357
-2.5,50,10,88,"mgcv",2358
-4.5,10,30,88,"mgcv",2359
-3.5,10,30,88,"mgcv",2360
-2.5,10,30,88,"mgcv",2361
-4.5,30,30,88,"mgcv",2362
-3.5,30,30,88,"mgcv",2363
-2.5,30,30,88,"mgcv",2364
-4.5,50,30,88,"mgcv",2365
-3.5,50,30,88,"mgcv",2366
-2.5,50,30,88,"mgcv",2367
-4.5,10,50,88,"mgcv",2368
-3.5,10,50,88,"mgcv",2369
-2.5,10,50,88,"mgcv",2370
-4.5,30,50,88,"mgcv",2371
-3.5,30,50,88,"mgcv",2372
-2.5,30,50,88,"mgcv",2373
-4.5,50,50,88,"mgcv",2374
-3.5,50,50,88,"mgcv",2375
-2.5,50,50,88,"mgcv",2376
-4.5,10,10,89,"mgcv",2377
-3.5,10,10,89,"mgcv",2378
-2.5,10,10,89,"mgcv",2379
-4.5,30,10,89,"mgcv",2380
-3.5,30,10,89,"mgcv",2381
-2.5,30,10,89,"mgcv",2382
-4.5,50,10,89,"mgcv",2383
-3.5,50,10,89,"mgcv",2384
-2.5,50,10,89,"mgcv",2385
-4.5,10,30,89,"mgcv",2386
-3.5,10,30,89,"mgcv",2387
-2.5,10,30,89,"mgcv",2388
-4.5,30,30,89,"mgcv",2389
-3.5,30,30,89,"mgcv",2390
-2.5,30,30,89,"mgcv",2391
-4.5,50,30,89,"mgcv",2392
-3.5,50,30,89,"mgcv",2393
-2.5,50,30,89,"mgcv",2394
-4.5,10,50,89,"mgcv",2395
-3.5,10,50,89,"mgcv",2396
-2.5,10,50,89,"mgcv",2397
-4.5,30,50,89,"mgcv",2398
-3.5,30,50,89,"mgcv",2399
-2.5,30,50,89,"mgcv",2400
-4.5,50,50,89,"mgcv",2401
-3.5,50,50,89,"mgcv",2402
-2.5,50,50,89,"mgcv",2403
-4.5,10,10,90,"mgcv",2404
-3.5,10,10,90,"mgcv",2405
-2.5,10,10,90,"mgcv",2406
-4.5,30,10,90,"mgcv",2407
-3.5,30,10,90,"mgcv",2408
-2.5,30,10,90,"mgcv",2409
-4.5,50,10,90,"mgcv",2410
-3.5,50,10,90,"mgcv",2411
-2.5,50,10,90,"mgcv",2412
-4.5,10,30,90,"mgcv",2413
-3.5,10,30,90,"mgcv",2414
-2.5,10,30,90,"mgcv",2415
-4.5,30,30,90,"mgcv",2416
-3.5,30,30,90,"mgcv",2417
-2.5,30,30,90,"mgcv",2418
-4.5,50,30,90,"mgcv",2419
-3.5,50,30,90,"mgcv",2420
-2.5,50,30,90,"mgcv",2421
-4.5,10,50,90,"mgcv",2422
-3.5,10,50,90,"mgcv",2423
-2.5,10,50,90,"mgcv",2424
-4.5,30,50,90,"mgcv",2425
-3.5,30,50,90,"mgcv",2426
-2.5,30,50,90,"mgcv",2427
-4.5,50,50,90,"mgcv",2428
-3.5,50,50,90,"mgcv",2429
-2.5,50,50,90,"mgcv",2430
-4.5,10,10,91,"mgcv",2431
-3.5,10,10,91,"mgcv",2432
-2.5,10,10,91,"mgcv",2433
-4.5,30,10,91,"mgcv",2434
-3.5,30,10,91,"mgcv",2435
-2.5,30,10,91,"mgcv",2436
-4.5,50,10,91,"mgcv",2437
-3.5,50,10,91,"mgcv",2438
-2.5,50,10,91,"mgcv",2439
-4.5,10,30,91,"mgcv",2440
-3.5,10,30,91,"mgcv",2441
-2.5,10,30,91,"mgcv",2442
-4.5,30,30,91,"mgcv",2443
-3.5,30,30,91,"mgcv",2444
-2.5,30,30,91,"mgcv",2445
-4.5,50,30,91,"mgcv",2446
-3.5,50,30,91,"mgcv",2447
-2.5,50,30,91,"mgcv",2448
-4.5,10,50,91,"mgcv",2449
-3.5,10,50,91,"mgcv",2450
-2.5,10,50,91,"mgcv",2451
-4.5,30,50,91,"mgcv",2452
-3.5,30,50,91,"mgcv",2453
-2.5,30,50,91,"mgcv",2454
-4.5,50,50,91,"mgcv",2455
-3.5,50,50,91,"mgcv",2456
-2.5,50,50,91,"mgcv",2457
-4.5,10,10,92,"mgcv",2458
-3.5,10,10,92,"mgcv",2459
-2.5,10,10,92,"mgcv",2460
-4.5,30,10,92,"mgcv",2461
-3.5,30,10,92,"mgcv",2462
-2.5,30,10,92,"mgcv",2463
-4.5,50,10,92,"mgcv",2464
-3.5,50,10,92,"mgcv",2465
-2.5,50,10,92,"mgcv",2466
-4.5,10,30,92,"mgcv",2467
-3.5,10,30,92,"mgcv",2468
-2.5,10,30,92,"mgcv",2469
-4.5,30,30,92,"mgcv",2470
-3.5,30,30,92,"mgcv",2471
-2.5,30,30,92,"mgcv",2472
-4.5,50,30,92,"mgcv",2473
-3.5,50,30,92,"mgcv",2474
-2.5,50,30,92,"mgcv",2475
-4.5,10,50,92,"mgcv",2476
-3.5,10,50,92,"mgcv",2477
-2.5,10,50,92,"mgcv",2478
-4.5,30,50,92,"mgcv",2479
-3.5,30,50,92,"mgcv",2480
-2.5,30,50,92,"mgcv",2481
-4.5,50,50,92,"mgcv",2482
-3.5,50,50,92,"mgcv",2483
-2.5,50,50,92,"mgcv",2484
-4.5,10,10,93,"mgcv",2485
-3.5,10,10,93,"mgcv",2486
-2.5,10,10,93,"mgcv",2487
-4.5,30,10,93,"mgcv",2488
-3.5,30,10,93,"mgcv",2489
-2.5,30,10,93,"mgcv",2490
-4.5,50,10,93,"mgcv",2491
-3.5,50,10,93,"mgcv",2492
-2.5,50,10,93,"mgcv",2493
-4.5,10,30,93,"mgcv",2494
-3.5,10,30,93,"mgcv",2495
-2.5,10,30,93,"mgcv",2496
-4.5,30,30,93,"mgcv",2497
-3.5,30,30,93,"mgcv",2498
-2.5,30,30,93,"mgcv",2499
-4.5,50,30,93,"mgcv",2500
-3.5,50,30,93,"mgcv",2501
-2.5,50,30,93,"mgcv",2502
-4.5,10,50,93,"mgcv",2503
-3.5,10,50,93,"mgcv",2504
-2.5,10,50,93,"mgcv",2505
-4.5,30,50,93,"mgcv",2506
-3.5,30,50,93,"mgcv",2507
-2.5,30,50,93,"mgcv",2508
-4.5,50,50,93,"mgcv",2509
-3.5,50,50,93,"mgcv",2510
-2.5,50,50,93,"mgcv",2511
-4.5,10,10,94,"mgcv",2512
-3.5,10,10,94,"mgcv",2513
-2.5,10,10,94,"mgcv",2514
-4.5,30,10,94,"mgcv",2515
-3.5,30,10,94,"mgcv",2516
-2.5,30,10,94,"mgcv",2517
-4.5,50,10,94,"mgcv",2518
-3.5,50,10,94,"mgcv",2519
-2.5,50,10,94,"mgcv",2520
-4.5,10,30,94,"mgcv",2521
-3.5,10,30,94,"mgcv",2522
-2.5,10,30,94,"mgcv",2523
-4.5,30,30,94,"mgcv",2524
-3.5,30,30,94,"mgcv",2525
-2.5,30,30,94,"mgcv",2526
-4.5,50,30,94,"mgcv",2527
-3.5,50,30,94,"mgcv",2528
-2.5,50,30,94,"mgcv",2529
-4.5,10,50,94,"mgcv",2530
-3.5,10,50,94,"mgcv",2531
-2.5,10,50,94,"mgcv",2532
-4.5,30,50,94,"mgcv",2533
-3.5,30,50,94,"mgcv",2534
-2.5,30,50,94,"mgcv",2535
-4.5,50,50,94,"mgcv",2536
-3.5,50,50,94,"mgcv",2537
-2.5,50,50,94,"mgcv",2538
-4.5,10,10,95,"mgcv",2539
-3.5,10,10,95,"mgcv",2540
-2.5,10,10,95,"mgcv",2541
-4.5,30,10,95,"mgcv",2542
-3.5,30,10,95,"mgcv",2543
-2.5,30,10,95,"mgcv",2544
-4.5,50,10,95,"mgcv",2545
-3.5,50,10,95,"mgcv",2546
-2.5,50,10,95,"mgcv",2547
-4.5,10,30,95,"mgcv",2548
-3.5,10,30,95,"mgcv",2549
-2.5,10,30,95,"mgcv",2550
-4.5,30,30,95,"mgcv",2551
-3.5,30,30,95,"mgcv",2552
-2.5,30,30,95,"mgcv",2553
-4.5,50,30,95,"mgcv",2554
-3.5,50,30,95,"mgcv",2555
-2.5,50,30,95,"mgcv",2556
-4.5,10,50,95,"mgcv",2557
-3.5,10,50,95,"mgcv",2558
-2.5,10,50,95,"mgcv",2559
-4.5,30,50,95,"mgcv",2560
-3.5,30,50,95,"mgcv",2561
-2.5,30,50,95,"mgcv",2562
-4.5,50,50,95,"mgcv",2563
-3.5,50,50,95,"mgcv",2564
-2.5,50,50,95,"mgcv",2565
-4.5,10,10,96,"mgcv",2566
-3.5,10,10,96,"mgcv",2567
-2.5,10,10,96,"mgcv",2568
-4.5,30,10,96,"mgcv",2569
-3.5,30,10,96,"mgcv",2570
-2.5,30,10,96,"mgcv",2571
-4.5,50,10,96,"mgcv",2572
-3.5,50,10,96,"mgcv",2573
-2.5,50,10,96,"mgcv",2574
-4.5,10,30,96,"mgcv",2575
-3.5,10,30,96,"mgcv",2576
-2.5,10,30,96,"mgcv",2577
-4.5,30,30,96,"mgcv",2578
-3.5,30,30,96,"mgcv",2579
-2.5,30,30,96,"mgcv",2580
-4.5,50,30,96,"mgcv",2581
-3.5,50,30,96,"mgcv",2582
-2.5,50,30,96,"mgcv",2583
-4.5,10,50,96,"mgcv",2584
